mname,date,Inactive Users,1st Time Openers,First Open %,Opens From 1st Users,Opens per New User,Total Opens,% of Opens From New Users,1st Time Clickers,First Click %,Clicks From 1st Users,Clicks per New User,Total Clicks,% of Clicks From New Users
Major Sweeps 3,2022-11-17,22101,99,0.22,203,4.14,"53,788",0.38,99,0.45,135,1.36,"1,390",9.71
Sig (Dave),2022-11-17,13972,91,0.3,282,6.71,"191,597",0.15,91,0.65,190,2.09,"8,314",2.29
giftcardgrabber,2022-11-17,25058,90,0.16,147,3.67,"18,311",0.8,90,0.36,135,1.5,"1,245",10.84
GPTTM1,2022-11-17,2363,9,0.3,25,3.57,345,7.25,9,0.38,16,1.78,35,45.71
MajorSweeps,2022-11-17,1488,9,0.47,19,2.71,802,2.37,9,0.6,14,1.56,66,21.21
Sweepsgen (Dave),2022-11-17,19353,84,0.25,484,9.88,"104,198",0.46,84,0.43,168,2.0,"3,631",4.63
Giftcardgrabber,2022-11-17,42590,73,0.11,162,3.52,"8,703",1.86,73,0.17,106,1.45,830,12.77
GPTT (Dave),2022-11-17,2875,7,0.17,9,1.8,790,1.14,7,0.24,10,1.43,25,40.0
GCGZ1,2022-11-17,17284,60,0.1,89,4.94,"26,708",0.33,60,0.35,95,1.58,751,12.65
SIGNATURESURVEYS MIKD,2022-11-17,1390,6,0.36,7,1.4,45,15.56,6,0.43,6,1.0,13,46.15
MajorSweeps,2022-11-17,22985,58,0.13,84,2.71,"6,070",1.38,58,0.25,73,1.26,294,24.83
SignatureSurveys A,2022-11-17,7837,53,0.33,212,8.15,"23,326",0.91,53,0.67,106,2.0,914,11.6
GPTT (GF Marketing),2022-11-17,13507,53,0.27,174,4.83,"2,873",6.06,53,0.39,99,1.87,387,25.58
gpttSGRB,2022-11-17,5085,51,0.62,106,3.31,"49,866",0.21,51,0.99,78,1.53,777,10.04
SampleThat C,2022-11-17,454,5,0.87,5,1.25,517,0.97,5,1.09,5,1.0,11,45.45
GIFTCARDGRABBER MIKD,2022-11-17,15266,486,1.62,"1,069",4.19,"49,327",2.17,486,3.09,824,1.7,"5,846",14.1
Sweepsgen2,2022-11-17,12482,44,0.16,129,6.45,"78,025",0.17,44,0.35,76,1.73,"2,687",2.83
GPTTN,2022-11-17,25878,437,0.87,978,4.25,"54,351",1.8,437,1.66,753,1.72,"4,623",16.29
MajorM1,2022-11-17,7072,40,0.28,93,4.65,"45,760",0.2,40,0.56,65,1.62,"1,083",6.0
