mname,date,Inactive Users,1st Time Openers,First Open %,Opens From 1st Users,Opens per New User,Total Opens,% of Opens From New Users,1st Time Clickers,First Click %,Clicks From 1st Users,Clicks per New User,Total Clicks,% of Clicks From New Users
Major Sweeps 3,10/25/2022 0:00,66245,93,0.09,184,3.23,"67,350",0.27,93,0.14,133,1.43,"2,058",6.46
giftcardgrabber,10/25/2022 0:00,17665,90,0.4,197,2.77,"13,180",1.49,90,0.51,133,1.48,"1,356",9.81
SigN,10/25/2022 0:00,111903,88,0.07,133,1.82,"4,985",2.67,88,0.08,109,1.24,591,18.44
Major Sweeps 2,10/25/2022 0:00,7193,81,0.91,397,6.02,"58,857",0.67,81,1.11,146,1.8,"2,967",4.92
InstantWinnerSweeps,10/25/2022 0:00,56,8,9.38,19,3.17,41,46.34,8,12.5,15,1.88,20,75
Sig. Surveys (GF Marketing),10/25/2022 0:00,12992,78,0.35,228,4.96,"64,791",0.35,78,0.6,138,1.77,"2,459",5.61
GiftCardGrabber,10/25/2022 0:00,5249,77,0.98,336,6.46,"156,041",0.22,77,1.45,155,2.01,"7,681",2.02
Sig (Dave),10/25/2022 0:00,23942,72,0.23,337,6.02,"119,785",0.28,72,0.3,141,1.96,"5,586",2.52
MajorSweeps,10/25/2022 0:00,38778,66,0.12,173,3.6,"62,225",0.28,66,0.17,103,1.56,"2,125",4.85
Major Sweeps 4,10/25/2022 0:00,10002,64,0.51,197,3.86,"33,506",0.59,64,0.64,102,1.59,"1,604",6.36
GiftCardGrabber A,10/25/2022 0:00,5327,63,0.98,409,7.72,"20,381",2.01,63,1.17,140,2.22,"1,673",8.37
Signature 2019,10/25/2022 0:00,93422,63,0.05,147,3.27,"97,671",0.15,63,0.07,87,1.38,"4,759",1.83
Sweepsgen2,10/25/2022 0:00,54780,54,0.07,159,4.3,"88,900",0.18,54,0.1,79,1.46,"3,566",2.22
gcgSGRB,10/25/2022 0:00,8888,53,0.5,121,2.69,"45,153",0.27,53,0.59,73,1.38,"2,426",3.01
Giftcardgrabber,10/25/2022 0:00,19157,52,0.23,185,4.11,"4,057",4.56,52,0.27,91,1.75,627,14.51
GPTTM1,10/25/2022 0:00,1206,5,0.41,30,6,173,17.34,5,0.41,7,1.4,20,35
SweepsMonthly,10/25/2022 0:00,18686,46,0.2,52,1.37,"9,405",0.55,46,0.25,52,1.13,624,8.33
MAJORSWEEPS MIKD,10/25/2022 0:00,575,43,6.15,69,1.82,352,19.6,43,6.96,49,1.14,91,53.85
MyShopDiscounts,10/25/2022 0:00,71556,426,0.41,"2,510",8.45,"75,459",3.33,426,0.59,899,2.11,"6,092",14.76
SigM1,10/25/2022 0:00,12078,42,0.28,104,3.06,"1,421",7.32,42,0.35,63,1.5,261,24.14
gpttSGRB,10/25/2022 0:00,3228,4,0.09,35,11.67,"41,391",0.08,4,0.12,9,2.25,"1,195",0.75
MajorSweeps,10/25/2022 0:00,4530,37,0.68,108,3.48,"1,169",9.24,37,0.81,60,1.62,245,24.49
GPTT (GF Marketing),10/25/2022 0:00,10466,35,0.23,129,5.38,"2,703",4.77,35,0.33,66,1.89,451,14.63
GetPaidToTry TRG,10/25/2022 0:00,27446,326,0.96,"1,724",6.46,"121,606",1.42,326,1.17,699,2.14,"7,798",8.96
SigCo,10/25/2022 0:00,26387,31,0.09,63,2.52,"4,516",1.4,31,0.12,40,1.29,330,12.12
MajorSweeps,10/25/2022 0:00,20311,30,0.11,96,4.17,"5,010",1.92,30,0.15,42,1.4,323,13
SIGNATURESURVEYS MIKD,10/25/2022 0:00,1228,3,0.24,11,3.67,102,10.78,3,0.24,3,1,25,12
IWS,10/25/2022 0:00,130,3,2.26,8,2.67,"2,820",0.28,3,2.26,3,1,182,1.65
Major 2019,10/25/2022 0:00,3633,3,0.08,3,1,204,1.47,3,0.08,3,1,7,42.86
GIFTCARDGRABBER MIKD,10/25/2022 0:00,6751,266,3.39,931,3.91,"11,755",7.92,266,3.79,487,1.83,"2,716",17.93
Samplegrabber special,10/25/2022 0:00,4069,26,0.44,133,7.39,"25,627",0.52,26,0.63,62,2.38,"1,934",3.21
GiftCardGrabber,10/25/2022 0:00,7725,22,0.27,117,5.57,"3,559",3.29,22,0.28,44,2,300,14.67
SampleThat C,10/25/2022 0:00,87,2,2.25,3,1.5,789,0.38,2,2.25,2,1,8,25
mjsSGRB,10/25/2022 0:00,276,2,0.72,7,3.5,42,16.67,2,0.72,2,1,4,50
GETPAIDTOTRY MIKD,10/25/2022 0:00,722,2,0.28,3,1.5,18,16.67,2,0.28,2,1,2,100
Sample TRG,10/25/2022 0:00,197,2,1.01,2,1,28,7.14,2,1.01,2,1,10,20
GPTT C,10/25/2022 0:00,105711,192,0.13,783,5.84,"202,777",0.39,192,0.18,348,1.81,"9,826",3.54
GPTTN2,10/25/2022 0:00,57647,191,0.25,572,3.97,"24,778",2.31,191,0.33,312,1.63,"1,970",15.84
GPTT A,10/25/2022 0:00,6961,18,0.26,95,5.28,396,23.99,18,0.26,24,1.33,87,27.59
Major (Dave),10/25/2022 0:00,35933,172,0.38,823,6.05,"193,226",0.43,172,0.48,398,2.31,"9,260",4.3
GPTT (Dave),10/25/2022 0:00,15620,17,0.09,21,1.5,509,4.13,17,0.11,19,1.12,62,30.65
GiftCardGrabber,10/25/2022 0:00,459,17,2.52,27,2.25,198,13.64,17,3.57,20,1.18,48,41.67
Sig TRG,10/25/2022 0:00,2296,17,0.65,104,6.93,"18,846",0.55,17,0.73,35,2.06,727,4.81
GPTTco,10/25/2022 0:00,15009,168,0.83,623,4.94,"58,366",1.07,168,1.11,293,1.74,"3,327",8.81
MSDZ1,10/25/2022 0:00,18877,163,0.71,551,4.08,"8,299",6.64,163,0.86,281,1.72,774,36.3
GCGZ1,10/25/2022 0:00,8729,16,0.15,27,2.08,"8,642",0.31,16,0.18,18,1.12,432,4.17
MajorM1,10/25/2022 0:00,1967,16,0.66,73,5.62,"27,509",0.27,16,0.81,31,1.94,"1,538",2.02
MajorM2,10/25/2022 0:00,37193,152,0.28,491,4.68,"53,474",0.92,152,0.41,278,1.83,"4,524",6.15
GPTTN,10/25/2022 0:00,18877,144,0.64,367,3.03,"14,272",2.57,144,0.76,206,1.43,"1,340",15.37
GPTT,10/25/2022 0:00,3484,14,0.31,50,4.55,990,5.05,14,0.4,26,1.86,111,23.42
GiftCardGrabber 2,10/25/2022 0:00,1228,14,1.05,56,4.31,443,12.64,14,1.13,21,1.5,86,24.42
SignatureSurveys,10/25/2022 0:00,8175,132,1.23,703,6.89,"88,558",0.79,132,1.59,248,1.88,"4,581",5.41
SignatureSurveys A,10/25/2022 0:00,4547,11,0.26,19,1.58,"12,014",0.16,11,0.24,12,1.09,545,2.2
Sweepsgen (Dave),10/25/2022 0:00,55228,108,0.17,465,4.89,"100,936",0.46,108,0.2,200,1.85,"4,316",4.63
GPTTZ1,10/25/2022 0:00,52427,103,0.14,195,2.75,"29,955",0.65,103,0.2,122,1.18,"1,311",9.31
sigSGRB,10/25/2022 0:00,273,1,0.36,1,1,25,4,1,0.36,1,1,2,50
GetPaidtoTry PNT,10/25/2022 0:00,285,1,0.35,2,2,20,10,1,0.35,1,1,1,100
SigM2,10/25/2022 0:00,2729,1,0.04,2,2,26,7.69,1,0.04,1,1,9,11.11
SignatureSurveys,10/25/2022 0:00,2831,1,0.04,1,1,22,4.55,1,0.04,1,1,3,33.33
GCG MIKD,10/25/2022 0:00,56,1,1.75,1,1,5,20,1,1.75,1,1,1,100
GetPaidToTry,10/25/2022 0:00,235,1,0.42,2,2,8,25,1,0.42,1,1,1,100
HiddenMoneyFinder MIKD,10/25/2022 0:00,21,1,4.55,1,1,9,11.11,1,4.55,1,1,2,50
swpgenSGRB,10/25/2022 0:00,276,1,0.36,8,8,22,36.36,1,0.36,3,3,3,100
Sig. Surveys (GF Marketing),10/26/2022 0:00,32310,95,0.17,225,4.02,"66,740",0.34,95,0.29,146,1.54,"2,352",6.21
Sig (Dave),10/26/2022 0:00,29698,87,0.19,474,8.46,"126,581",0.37,87,0.29,166,1.91,"6,098",2.72
GPTT (Dave),10/26/2022 0:00,15611,8,0.05,12,1.5,455,2.64,8,0.05,10,1.25,54,18.52
GiftCardGrabber A,10/26/2022 0:00,5989,79,1.01,447,7.33,"24,699",1.81,79,1.3,173,2.19,"1,952",8.86
Major Sweeps 4,10/26/2022 0:00,10536,72,0.43,183,3.98,"40,303",0.45,72,0.68,128,1.78,"2,045",6.26
gcgSGRB,10/26/2022 0:00,9475,71,0.53,239,4.69,"61,601",0.39,71,0.74,111,1.56,"2,951",3.76
gpttSGRB,10/26/2022 0:00,3280,7,0.24,32,4,"36,348",0.09,7,0.21,9,1.29,"1,027",0.88
Sweepsgen (Dave),10/26/2022 0:00,60583,61,0.06,296,8,"100,910",0.29,61,0.1,118,1.93,"4,296",2.75
Sweepsgen2,10/26/2022 0:00,60639,56,0.07,286,6.98,"90,702",0.32,56,0.09,81,1.45,"3,989",2.03
SigCo,10/26/2022 0:00,30127,56,0.15,102,2.32,"5,001",2.04,56,0.19,76,1.36,392,19.39
Giftcardgrabber,10/26/2022 0:00,20317,55,0.24,192,3.92,"4,050",4.74,55,0.27,110,2,572,19.23
GPTT (GF Marketing),10/26/2022 0:00,17078,54,0.23,149,3.82,"2,404",6.2,54,0.32,88,1.63,362,24.31
SIGNATURESURVEYS MIKD,10/26/2022 0:00,1312,5,0.23,5,1.67,70,7.14,5,0.38,6,1.2,19,31.58
GetPaidToTry TRG,10/26/2022 0:00,29589,457,1.12,"2,186",6.49,"127,837",1.71,457,1.52,946,2.07,"9,277",10.2
GPTTM1,10/26/2022 0:00,1198,4,0.33,20,5,113,17.7,4,0.33,7,1.75,18,38.89
GetPaidToTry,10/26/2022 0:00,241,4,1.63,6,1.5,14,42.86,4,1.63,4,1,4,100
Major 2019,10/26/2022 0:00,3491,4,0.11,4,1,373,1.07,4,0.11,4,1,10,40
GetPaidtoTry PNT,10/26/2022 0:00,291,4,1.02,5,1.67,32,15.62,4,1.36,4,1,4,100
MAJORSWEEPS MIKD,10/26/2022 0:00,377,35,7.77,32,1,160,20,35,8.5,35,1,51,68.63
GIFTCARDGRABBER MIKD,10/26/2022 0:00,7557,345,3.38,"1,119",4.19,"13,053",8.57,345,4.37,646,1.87,"2,972",21.74
MajorSweeps,10/26/2022 0:00,4950,31,0.4,89,4.45,"1,391",6.4,31,0.62,54,1.74,266,20.3
GETPAIDTOTRY MIKD,10/26/2022 0:00,749,3,0.27,3,1.5,21,14.29,3,0.4,3,1,3,100
MajorM1,10/26/2022 0:00,2495,29,0.95,122,5.08,"29,651",0.41,29,1.15,53,1.83,"1,313",4.04
GPTTco,10/26/2022 0:00,18635,268,0.98,"1,064",5.72,"70,775",1.5,268,1.42,465,1.74,"4,335",10.73
Samplegrabber special,10/26/2022 0:00,4630,26,0.41,111,5.84,"31,543",0.35,26,0.56,59,2.27,"2,135",2.76
MajorSweeps,10/26/2022 0:00,26779,25,0.06,40,2.67,"5,035",0.79,25,0.09,34,1.36,293,11.6
SweepsMonthly,10/26/2022 0:00,19043,25,0.09,29,1.61,"8,805",0.33,25,0.13,33,1.32,573,5.76
GiftCardGrabber,10/26/2022 0:00,8279,25,0.3,148,5.92,"4,433",3.34,25,0.3,38,1.52,303,12.54
SignatureSurveys A,10/26/2022 0:00,5141,24,0.41,106,5.05,"13,267",0.8,24,0.46,36,1.5,520,6.92
GPTT C,10/26/2022 0:00,66759,237,0.2,611,4.56,"170,379",0.36,237,0.35,408,1.72,"9,438",4.32
GiftCardGrabber,10/26/2022 0:00,601,22,3.21,41,2.05,305,13.44,22,3.53,26,1.18,69,37.68
MyShopDiscounts,10/26/2022 0:00,80303,216,0.16,"1,233",9.34,"77,474",1.59,216,0.27,536,2.48,"6,787",7.9
HiddenMoneyFinder MIKD,10/26/2022 0:00,19,2,9.52,5,2.5,15,33.33,2,9.52,2,1,2,100
GPTT A,10/26/2022 0:00,9269,19,0.22,73,3.65,397,18.39,19,0.2,27,1.42,69,39.13
giftcardgrabber,10/26/2022 0:00,18621,176,0.72,285,2.11,"17,069",1.67,176,0.94,221,1.26,"1,827",12.1
GPTTN,10/26/2022 0:00,19595,171,0.65,400,3.1,"14,226",2.81,171,0.87,240,1.4,"1,743",13.77
GCGZ1,10/26/2022 0:00,11793,17,0.08,22,2.2,"9,629",0.23,17,0.14,19,1.12,427,4.45
SignatureSurveys,10/26/2022 0:00,8618,162,1.41,667,5.38,"88,790",0.75,162,1.85,328,2.02,"4,327",7.58
Sig TRG,10/26/2022 0:00,13899,16,0.09,103,7.92,"21,725",0.47,16,0.11,30,1.88,"1,052",2.85
Major (Dave),10/26/2022 0:00,58895,155,0.17,682,6.62,"185,251",0.37,155,0.26,313,2.02,"8,335",3.76
GPTTN2,10/26/2022 0:00,53834,143,0.19,359,3.42,"15,500",2.32,143,0.26,202,1.41,"1,565",12.91
SigN,10/26/2022 0:00,117693,143,0.09,192,1.73,"5,210",3.69,143,0.12,177,1.24,688,25.73
MajorM2,10/26/2022 0:00,99311,136,0.09,427,4.85,"54,969",0.78,136,0.14,229,1.68,"3,810",6.01
GPTT,10/26/2022 0:00,3553,13,0.31,27,2.45,"1,208",2.24,13,0.36,16,1.23,78,20.51
MajorSweeps,10/26/2022 0:00,128320,129,0.06,418,5.36,"68,565",0.61,129,0.1,214,1.66,"3,146",6.8
GiftCardGrabber 2,10/26/2022 0:00,8600,12,0.12,52,5.2,911,5.71,12,0.14,19,1.58,124,15.32
Signature 2019,10/26/2022 0:00,97962,114,0.08,310,4.13,"95,484",0.32,114,0.12,181,1.59,"5,332",3.39
Major Sweeps 3,10/26/2022 0:00,81676,114,0.08,216,3.48,"67,252",0.32,114,0.14,162,1.42,"2,514",6.44
Major Sweeps 2,10/26/2022 0:00,7399,112,1.05,455,5.76,"59,403",0.77,112,1.49,220,1.96,"3,893",5.65
GPTTZ1,10/26/2022 0:00,57976,112,0.13,228,3.08,"33,687",0.68,112,0.19,148,1.32,"1,261",11.74
SigM1,10/26/2022 0:00,25493,111,0.33,254,3.02,"4,543",5.59,111,0.43,170,1.53,824,20.63
GiftCardGrabber,10/26/2022 0:00,5736,108,1.45,394,4.64,"149,478",0.26,108,1.85,194,1.8,"7,595",2.55
MSDZ1,10/26/2022 0:00,23043,100,0.29,316,4.72,"5,531",5.71,100,0.43,178,1.78,530,33.58
SigM2,10/26/2022 0:00,2747,1,0.04,4,4,24,16.67,1,0.04,3,3,8,37.5
SwpGF2,10/26/2022 0:00,3923,1,0.03,1,1,8,12.5,1,0.03,1,1,1,100
SweepsGen TRG,10/26/2022 0:00,257,1,0.39,2,2,5,40,1,0.39,1,1,1,100
MajorM2,10/27/2022 0:00,110611,961,0.77,"3,082",3.6,"62,132",4.96,961,0.86,"1,462",1.52,"5,496",26.6
GiftCardGrabber,10/27/2022 0:00,8659,94,1.05,297,3.23,"5,285",5.62,94,1.07,141,1.5,412,34.22
GPTTN,10/27/2022 0:00,19011,926,4.4,"2,404",2.74,"21,636",11.11,926,4.64,"1,294",1.4,"2,810",46.05
Major C,10/27/2022 0:00,97,9,5.66,12,2,356,3.37,9,8.49,10,1.11,10,100
SIGNATURESURVEYS MIKD,10/27/2022 0:00,1296,9,0.54,15,2.14,74,20.27,9,0.69,11,1.22,15,73.33
GIFTCARDGRABBER MIKD,10/27/2022 0:00,7234,882,9.43,"2,617",3.42,"14,601",17.92,882,10.87,"1,446",1.64,"3,185",45.4
GPTTco,10/27/2022 0:00,20646,841,3.27,"3,220",4.59,"69,997",4.6,841,3.91,"1,310",1.56,"3,623",36.16
MajorSweeps,10/27/2022 0:00,37170,83,0.2,252,3.45,"4,843",5.2,83,0.22,118,1.42,314,37.58
SigCo,10/27/2022 0:00,33738,83,0.21,128,1.83,"5,411",2.37,83,0.25,103,1.24,372,27.69
GiftCardGrabber 2,10/27/2022 0:00,8906,80,0.78,260,3.71,"1,059",24.55,80,0.89,121,1.51,210,57.62
MajorSweeps,10/27/2022 0:00,9212,78,0.61,159,2.79,"1,343",11.84,78,0.84,97,1.24,258,37.6
Sig TRG,10/27/2022 0:00,13930,743,5.4,"3,276",4.13,"34,774",9.42,743,5.06,"1,292",1.74,"2,251",57.4
Signature 2019,10/27/2022 0:00,101051,708,0.68,"1,739",2.51,"71,529",2.43,708,0.7,942,1.33,"4,781",19.7
SampleThat C,10/27/2022 0:00,92,7,5.05,27,5.4,781,3.46,7,7.07,8,1.14,10,80
Major 2019,10/27/2022 0:00,3486,6,0.09,12,4,214,5.61,6,0.17,6,1,6,100
GPTTM1,10/27/2022 0:00,1202,6,0.5,17,2.83,118,14.41,6,0.5,6,1,9,66.67
Major (Dave),10/27/2022 0:00,87559,579,0.56,"2,474",5.04,"166,019",1.49,579,0.66,"1,002",1.73,"8,583",11.67
GCGZ1,10/27/2022 0:00,12238,57,0.41,123,2.41,"9,760",1.26,57,0.46,73,1.28,408,17.89
Major Sweeps 3,10/27/2022 0:00,100387,529,0.44,"1,372",3.09,"69,200",1.98,529,0.52,673,1.27,"2,658",25.32
GiftCardGrabber A,10/27/2022 0:00,6212,524,7.93,"3,071",5.75,"30,437",10.09,524,7.78,"1,072",2.05,"2,568",41.74
Sample TRG,10/27/2022 0:00,173,5,2.25,5,1.25,13,38.46,5,2.81,6,1.2,7,85.71
GPTTZ1,10/27/2022 0:00,58541,495,0.67,"1,033",2.6,"34,649",2.98,495,0.84,601,1.21,"1,451",41.42
MAJORSWEEPS MIKD,10/27/2022 0:00,2286,48,1.76,55,1.34,386,14.25,48,2.06,50,1.04,65,76.92
GPTTN2,10/27/2022 0:00,55460,469,0.72,"1,256",3.12,"15,880",7.91,469,0.84,658,1.4,"1,495",44.01
SigN,10/27/2022 0:00,123847,469,0.37,747,1.6,"7,225",10.34,469,0.38,541,1.15,989,54.7
SignatureSurveys,10/27/2022 0:00,8101,463,5.14,"2,043",4.64,"90,385",2.26,463,5.41,844,1.82,"3,999",21.11
